intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,training_rounds,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248.6334,1249.4832,,,,1249.4846,1251.0365,,,,stimuli/collisions/calibration/stim17.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1249.4839,1249.4845,1251.0383,1254.243,1254.2629,1255.1235,0,[],[],1,[1255.152900000006],[1255.152900000006],TRUE,TRUE,TRUE,1255.1238,1257.101,"[""space""]",[0.9368000000117718],[null],10,0,10,0,1
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1257.1028,1259.9635,,,,1259.9658,1261.4795,,,,stimuli/collisions/calibration/stim13.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1259.9645,1259.9656,1261.4816,1264.4536,1264.4854,1265.4594,1,[1265.4918000000116],[1265.4918000000116],0,[],[],FALSE,FALSE,TRUE,1265.4602,1267.6348,"[""space""]",[1.1343999999910466],[null],11,0,11,0,1
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267.6374,1271.8783,,,,1271.8796,1273.4116,,,,stimuli/collisions/calibration/stim1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271.8789,1271.8794,1273.4147,1276.7382,1276.7683,1279.133,1,[1279.166100000009],[1279.1662000000028],0,[],[],FALSE,FALSE,TRUE,1279.1337,1281.2481,"[""space""]",[1.0692999999969288],[null],12,0,12,0,1
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1281.2502,1285.4868,,,,1285.4883,1287.0359,,,,stimuli/collisions/calibration/stim5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285.4874,1285.4881,1287.0381,1291.2005,1291.2455,1292.7749,1,[1292.8094999999998],[1292.8094999999998],0,[],[],FALSE,FALSE,TRUE,1292.7753,1297.3963,"[""space""]",[3.5926000000090426],[null],13,0,13,0,1
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297.3981,1298.8542,,,,1298.8556,1300.4439,,,,stimuli/collisions/calibration/stim16.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298.8549,1298.8555,1300.4467,1304.0646,1304.0878,1304.9064,1,[1304.9408000000117],[1304.9408000000117],0,[],[],FALSE,FALSE,TRUE,1304.9067,1306.7559,"[""space""]",[0.8293000000119264],[null],14,0,14,0,1
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306.758,1307.9315,,,,1307.9329,1309.4676,,,,stimuli/collisions/calibration/stim15.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307.9321,1307.9327,1309.47,1312.808,1312.827,1320.0305,1,[1320.065300000012],[1320.065300000012],0,[],[],FALSE,TRUE,FALSE,1320.0312,1321.1617,"[""space""]",[0.10949999999979809],[null],15,0,15,0,1
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321.1621,1322.0699,,,,1322.0708,1323.5736,,,,stimuli/collisions/calibration/stim4.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1322.0703,1322.0706,1323.5745,1326.343,1326.3499,1327.0225,0,[],[],1,[1327.052400000006],[1327.052400000006],TRUE,TRUE,TRUE,1327.0226,1328.5773,"[""space""]",[0.5150000000001],[null],16,0,16,0,1
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.5779,1329.3944,,,,1329.3951,1330.9032,,,,stimuli/collisions/calibration/stim7.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.3947,1329.3951,1330.904,1333.5697,1333.5798,1335.6035,0,[],[],1,[1335.6327999999971],[1335.632900000006],TRUE,TRUE,TRUE,1335.604,1337.442,"[""space""]",[0.7968000000118991],[null],17,0,17,0,1
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337.4439,1338.8756,,,,1338.877,1340.4115,,,,stimuli/collisions/calibration/stim14.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338.8762,1338.8769,1340.4137,1343.8514,1343.8728,1345.4373,0,[],[],1,[1345.4665],[1345.4665999999938],TRUE,FALSE,FALSE,1345.4381,1346.5608,"[""space""]",[0.08560000000875334],[null],18,0,18,0,1
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346.5623,1347.2439,,,,1347.2467,1348.7841,,,,stimuli/collisions/calibration/stim6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347.2458,1347.2465,1348.7867,1351.4579,1351.497,1352.3172,1,[1352.351700000003],[1352.351700000003],0,[],[],FALSE,FALSE,TRUE,1352.3176,1354.1868,"[""space""]",[0.8435999999940123],[null],19,0,19,0,1
