intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training_rounds,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,select_resp.rt,select_resp.duration,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.7962,159.4793,159.4793,159.4794,train,181.6303,181.6303,160.9971,162.3792,green,stimuli/collisions/training/stim3.mp4,k,TRUE,162.3799,177.0805,97,1,[1.8007999999523179],[1.8007999999523179],red,green,blue,0,0,177.0819,178.8627,0,[],[],1,[178.86859999990463],[178.86859999990463],178.863,181.6292,2.2405,-15,TRUE,FALSE,181.6293,181.6293,,,,181.6303,181.6305,,,,,,0,0,0,0,1,,,,,,1.0295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.6306,182.496,182.496,182.496,train,197.7633,197.7635,183.9971,187.5457,red,stimuli/collisions/training/stim1.mp4,j,TRUE,187.5464,193.4792,0,1,[1.0334000000953552],[1.0334000000953552],red,green,blue,0,100,193.48,195.0452,0,[],[],1,[195.0512000000477],[195.0512000000477],195.0454,197.7625,0.9505,10,TRUE,FALSE,197.7626,197.7626,,,,197.7636,197.7637,,,,,,0,0,0,0,1,,,,,,3.1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.7639,200.0133,200.0137,200.0138,test,234.4621,235.4791,201.5294,204.8127,miss,stimuli/collisions/hit/stim13.mp4,f,TRUE,204.816,204.8206,,0,[],[],red,green,blue,,,204.8226,208.2295,1,[208.23560000014305],[208.23560000014305],0,[],[],208.2299,211.296,0.8447,5,FALSE,TRUE,211.296,213.9797,"[""space""]",[0.6392000000476799],[null],235.4791,236.3789,j,0.5515,,9,"[1.53,1.18,0.65,0.6,0.63,0.52,0.74,0.48,0.55]",9,0,9,0,1,,,,,,2.9882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.3791,236.9954,236.9955,236.9955,test,250.9302,250.9304,238.5134,241.0458,blue,stimuli/collisions/hit/stim18.mp4,f,TRUE,241.0495,247.1125,0,1,[0.9500000000000455],[0.9500000000000455],red,green,blue,100,0,247.1139,248.2289,0,[],[],1,[248.2347999999523],[248.2347999999523],248.2292,250.9291,0.9592,30,TRUE,FALSE,250.9292,250.9292,,,,250.9304,250.931,,,,,,0,0,0,0,1,,,,,,2.1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.9312,251.6957,251.6958,251.6959,test,266.1144,266.1148,253.2122,255.6786,red,stimuli/collisions/hit/stim6.mp4,j,TRUE,255.6799,262.4293,0,1,[1.0004999999999882],[1.0004999999999882],red,green,blue,0,100,262.4371,263.5453,0,[],[],1,[263.55129999995233],[263.55129999995233],263.5454,266.1126,1.1408,60,TRUE,FALSE,266.1127,266.1128,,,,266.1149,266.1154,,,,,,0,0,0,0,1,,,,,,2.0992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
